Headline,Summary,Link,Content
Coronavirus: Authorities break up several parties; Rotterdam hotel shuttered, Municipal authorities across the Netherlands reported several incidents where they intervened to enforce a strict personal distance requirement and a ban on groups in public of more than two people. The strict requirements were part of a package of measures introduced by the Dutch government to combat the spread of the coronavirus. ,https://nltimes.nl/2020/03/29/coronavirus-authorities-break-several-parties-rotterdam-hotel-shuttered,"Municipal authorities across the Netherlands reported several incidents where they intervened to enforce a strict personal distance requirement and a ban on groups in public of more than two people. The strict requirements were part of a package of measures introduced by the Dutch government to combat the spread of the coronavirus.
Very busy recreation park
An influx of athletes and visitors at the Wilhelminaberg, an artificial mountain surrounded by a recreation park, forced authorities in Landgraaf and South Limburg to cut off access to the area. Officials said the crowds arrived ""despite the frequent repetition of the measures against the spread of the corona virus. With these numbers of visitors it is not possible to keep a safe distance from each other,"" wrote the Limburg-Zuid emergency services office.
Fences and gates were used to cut off access to the the mountain. Violators will be fined 390 euros, the authorities said on Sunday.
Dozens at Rotterdam hotel party
In Rotterdam, Mayor Ahmed Aboutaleb issued an emergency order to close the Grand Hotel Central on Saturday afternoon. A group of 24 young people were found in a hotel room there as part of a party that started Friday night and continued into early Saturday morning.
The hotel will remain closed indefinitely, a city spokesperson told AD. The young people were also accused of setting a fire in a hotel stairwell, and using a clever method to sneak past security in order to hold the party.
The hotel contacted police when they discovered the party taking place, according to Nu.nl.
""We deeply regret the incident last night. We think the immediate closure of the hotel is disproportionate, partly because we had already implemented all additional security measures internally at 8 a.m. on Saturday morning,"" the hotel told Nu.nl. This included extra security cameras and staff, and removing larger rooms from its available inventory.
Darkened house party with a look-out
Saturday night police in Delft discovered a house party with a spotter on the street meant to give warnings to partiers if the police were seen near by. Despite the darkened home, officers found the gathering and broke it up, handing out a fine to the organizer.
Also on Saturday night, police in Loon op Zand, Noord-Brabant, broke up a group of five residents having drinks around a fire pit together. They went home after a warning was issued.
In Waalwijk, officers said they too broke up a small gathering in Waalwijk.
"
Urgent alert for missing father after family of four was found dead," Police issued an alert on Sunday for 33-year-old Onur K., wanted for questioning after four people were found killed in a home including his two young children. The mother of the children and their grandmother were also found dead in the Etten-Leur home on Saturday evening.
Authorities did not immediately identify K. as a suspect. ""We are also concerned about his well-being,"" police said. ""For this reason, we are also publishing his photo to find him as soon as possible."" ",https://nltimes.nl/2020/03/29/urgent-alert-missing-father-family-four-found-dead,"Police issued an alert on Sunday for 33-year-old Onur K., wanted for questioning after four people were found killed in a home including his two young children. The mother of the children and their grandmother were also found dead in the Etten-Leur home on Saturday evening.
Authorities did not immediately identify K. as a suspect. ""We are also concerned about his well-being,"" police said. ""For this reason, we are also publishing his photo to find him as soon as possible.""
Police wanted anyone with information about K.'s whereabouts, or who can shed light on the family's life, to quickly contact them.
Residents in the neighborhood were reportedly shocked by the grizzly discovery. It started with a report of a foul odor coming from the house on Dasseburcht in the Noord-Brabant town. ""It was not clear to the police officers who first arrived on scene what had happened in the house. For their own safety, they had the fire department come out to take measurements,"" police said.
The fire department responded just after 6:10 p.m., and soon after more police were dispatched to the scene.
Forensic investigators combed through the home to collect evidence through the night and into Sunday. Police canvassed the block, speaking with area residents to try and piece together what happened.
"
Four bodies found in Etten-Leur home; Crime suspected," The bodies of four people were found inside a house in Etten-Leur, Noord-Brabant on Saturday night, police said. The victims were possibly residents of the home, prompting a criminal investigation.
Firefighters were initially dispatched to the scene shortly after 6:10 p.m. when foul smell was reported in the area. Police descended on the scene a little while later. Once there, the deceased were found in the Dassenburcht home.  ",https://nltimes.nl/2020/03/29/four-bodies-found-etten-leur-home-crime-suspected,"The bodies of four people were found inside a house in Etten-Leur, Noord-Brabant on Saturday night, police said. The victims were possibly residents of the home, prompting a criminal investigation.
Firefighters were initially dispatched to the scene shortly after 6:10 p.m. when foul smell was reported in the area. Police descended on the scene a little while later. Once there, the deceased were found in the Dassenburcht home. 
""Various police services are investigating what happened in the home,"" authorities said. ""The investigation shows that this may be a crime in which four people died. They are possibly the residents.""
A family resides in the home, including two young children and their grandmother, neighbors told newspaper BN DeStem. Neighbors expressed shock, and feared the worst. ""I always see them playing,"" one said of the children living in the house.
""Tonight I received the horrible news that a number of people have been found dead in a house on Dasseburcht,"" said Etten-Leur mayor Miranda de Vries on Twitter. ""The police are investigating the circumstances. My condolences go out to the next of kin.""
The investigation is ongoing, police said.
Er worden nu zwarte hekken geplaatst rond het huis. #ob pic.twitter.com/1WblYPC507
— Dirk Verhoeven (@dirkverhoeven) March 28, 2020
"
Netherlands stays home: Empty beaches & streets with some exceptions," Beaches, streets and public areas across the Netherlands stood largely quiet on Saturday as the public continued to adhere to the new rule that requires 1.5 meters distance to be kept between people. The quietude comes in spite of the fair weather forecasts for the weekend which similarly drew large crowds to gather a week ago even after government and health officials pleaded with them to remain home as much as possible to help quell the coronavirus pandemic. ",https://nltimes.nl/2020/03/28/netherlands-stays-home-empty-beaches-streets-exceptions,"Beaches, streets and public areas across the Netherlands stood largely quiet on Saturday as the public continued to adhere to the new rule that requires 1.5 meters distance to be kept between people. The quietude comes in spite of the fair weather forecasts for the weekend which similarly drew large crowds to gather a week ago even after government and health officials pleaded with them to remain home as much as possible to help quell the coronavirus pandemic.
Large beaches such as Scheveningen, Zandvoort, Bloemendaal and Noordwijk were shown to be almost empty in live videos streamed from the coast. Prominent public areas such as the Dam Square in Amsterdam remained practically deserted, as groups of three or more people were forbidden in public, with some exceptions for families and housemates. This compared to the previous weekend, where emergency services were forced to issue an NL-Alert to remind people of the health advisory.
Sunshine was forecast across the Netherlands on Saturday. A mix of sunny and cloudy weather, along with chilly temperatures, was predicted for Sunday, according to meteorological agency KNMI.
In spite of all-round public restraint, however, several incidents were reported on Saturday as small crowds gathered in various parts of the country. In the Hague, for example, large numbers of people flocked to local organic food sellers, one of which was hit with an emergency order to close due to the small crowds that it drew.
Similarly, police intervened in a gathering of 24 people, who, according to AD, had gathered in a single hotel room on the Kruiskade in Rotterdam to throw a party. Members of the group each received a fine of an undisclosed amount for not adhering to the social distancing measures put in place to curb the spread of Covid-19, as well as for allegedly consuming alcohol and drugs, and setting fire to the hotel stairwell.
The incidents come a day after the Prime Minister Mark Rutte again urged all residents to remain indoors insofar as is possible, and a week after large crowds flocked to the beaches and dunes in spite of Rutte’s previous advice that people avoid crowding.
This week, the authorities began serving fines to people across the country for unlawfully gathering.
"
"Coronavirus Assault: Ten different arrests for abuse of police, workers"," Since the coronavirus pandemic began in late February, police have arrested at least ten different people for threatening police, bus drivers and supermarket staff with a coronavirus infection by spitting at them or coughing on them. The incidents are causing more concern among police officers, who have already modified their approach to criminal and domestic intervention because of the ongoing health crisis. ",https://nltimes.nl/2020/03/28/coronavirus-assault-ten-different-arrests-abuse-police-workers,"Since the coronavirus pandemic began in late February, police have arrested at least ten different people for threatening police, bus drivers and supermarket staff with a coronavirus infection by spitting at them or coughing on them. The incidents are causing more concern among police officers, who have already modified their approach to criminal and domestic intervention because of the ongoing health crisis.
A court in Limburg convicted a 19-year-old from Sittard on Friday for saying he had coronavirus and spitting on a bus driver. The incident happened on Tuesday around 5 p.m. at Maastricht Centraal after the bus driver confronted the teen for not having enough credit on his public transit card to cover the bus fare. ""The court takes into account that we live in a bizarre and violent time where the impact of behavior is greater, than in normal circumstances,"" a statement from the court noted. He was convicted for making threats that when combined with any crime ""endanger the general safety of people."" He was given an eight-week prison sentence, and ordered to pay the victim 450 euros.
Coughing in people's faces to cut a coffeeshop line
In Den Bosch, a 28-year-old man was convicted on Wednesday for ""deliberately coughing in people's faces and shouting that he has corona,"" the court said. ""He also violently opposed his arrest and assaulted and insulted a police officer. He also threatened the agent with coronavirus infection and spat at the agent.""
He was accused of cutting in line at a Den Bosch coffeeshop on March 15 moments after the Dutch government briefly ordered the cannabis operators to shut down as part of a series of early measures against the spread of the contagious virus. ""Watch out! Corona, corona!"" he shouted, while coughing in people's faces, the court said. A police officer responded and ordered him to leave. The man allegedly complied, but returned. When an officer tried to arrest him, the man kicked the police officer, spat on him, aggressively insulted him, and flipped him a middle finger.
The man, also from Den Bosch, was sentenced to nine weeks behind bars, of which two will be suspended if the man meets court-ordered conditions. He was given an extra week in jail for another offense, and ordered to pay the police officer 384 euros in restitution. ""You simply took advantage of the situation purely for your own gain,"" the court said, in spite of the man's stated regret.
""You want corona? Here, come and get it!""
Police arrested a man they referred to as a ""Corona Menace"" at Utrecht Centraal on Monday after responding to a report that the 35-year-old was trying to steal food inside a store. He was found lying on the shop floor and was helped up by authorities, who said they wanted to address the matter with him in private. He was told to sit down for fear he would fall over from excessive drinking.
That's when the man aggressively jumped into action, police said. “You don't tell me what to do! You want corona? Here come and get it!”
He then spat five times at the police officers who barely managed to dodge the flying sputum. He will face accusations of attempted aggravated assault and making threats on April 1, police said.
Shelter worker bitten, Snot blown all over police interrogation room
A 21-year-old Leeuwarden man was placed in custody for two weeks on Tuesday while an investigation continues into accusations that he bit a nightwatchman at a homeless shelter. He allegedly threatened him with death and spat on the guard. ""At the police station, the suspect blew his nose, the snot ending up on his hands and the floor of an interrogation room,"" the prosecutor said. He then allegedly told a police officer, ""Sit in front of me with your medical masks, boy, I will give you diseases."" That happened on March 20, one week after he was accused of threatening two mental healthcare workers with arson and aggravated abuse. ""Personality problems"" may have played a role in the incidents, the prosecutor said.
Choking one cop, spitting at another: ""I will finish you!""
An Utrecht woman was convicted of choking a police officer and spitting in another's face, resulting in her entering isolation to protect others from disease. It started on March 18 when police went to her home on Ossewagendreef because the woman's roommate was locked out of the apartment and she was unresponsive. A locksmith opened the door for a well-being check, and police found the woman under the influence of alcohol, the prosecutor in the case said. When police tried to mediate a dispute between the two tenants, the 49-year-old woman shouted, ""I will finish you!"" and grabbed one of the officers by the throat several times, prosecutors alleged. Then, at the police station, ""the woman called out that she had corona and spat at the officers,"" the prosecutor said. Later in a holding cell, she spat in an officer's face. ""As a result, the agent is now isolated and can no longer have contact with her partner, children and parents,"" because they are at an increased risk of illness, the prosecutor said. She was sentenced to two weeks in prison, with two more weeks conditionally suspended. 
Some routine traffic stops are anything but routine: ""Those gloves won't help you.""
Also on March 20, an ordinary traffic stop was the catalyst for a similar incident. The suspect, the police said, ignored signals to stop repeatedly before eventually pulling over. The unlicensed driver emerged from his uninsured car and marched up to Henk, the 55-year-old officer involved, saying that he had just returned from a visit with his friend. Then, ""he coughed in the face of a police officer and said, 'My comrade has corona,'' according to the prosecutor. Henk was nose-to-nose with the 52-year-old suspect at the time, the officer told Dagblad van het Noorden. ""I was really shocked by that,"" Henk told the newspaper. ""I have a family and parents who are already in their eighties.” He said he filed a charge against the Nieuw-Beerta man for attempted aggravated abuse.
Another man who was pulled over on March 18 for dangerous driving and possibly driving under the influence coughed in the face of the two responding police officers. ""Nice guys, I have the corona virus. Now you too!"" the prosecutor said the man told the police. ""I've been tested for it,"" the 23-year-old claimed. ""So those gloves won't help you."" He later said he was lying at the time. The Noordwijkerhout man was sentenced two days later to a 10-week jail term, of which two weeks were conditionally suspended. He may have to pay undisclosed financial damages, the prosecutor said.
Spitting and coughing at police in Amsterdam
Two separate incidents also on Tuesday took place in Amsterdam, the first when a woman in Amsterdam-Noord allegedly coughed in the faces of two police officers. The 30-year-old woman was reportedly pulled over by police for driving too fast at about 2:30 p.m., and responded by getting out of the car and screaming, wrote the Parool. When asked for her identification, she then responded by coughing hard at the responding officers.
Hours later in Amsterdam Oost police responded to a reported disturbance at a grocery store on Celebesstraat. Officers tried to remove a 46-year-old man from the supermarket, and the man is alleged to have spat at them.
Abusing a supermarket manager at closing time
A Lelystad man was also given a 40-hour community service sentence on March 20 for spitting in a supermarket manager's face two days prior. He tried sneaking through the store's exit doors just after the store closed for the evening. He began packing his groceries as the manager told him to leave. When the manager took the 28-year-old suspect's groceries from him, the suspect allegedly spat on the manager's clothes and face. Of the victim, the prosecutor said, ""He felt angry and gross and was afraid of being infected.""
The judge in the case said, ""Given the special situation we are in now, I find spitting very intense. In principle, a prison sentence would be appropriate and required."" However the man was given a lighter sentence because he was not recently convicted of a violent crime and his profession, which was not disclosed, was on the list of vital professions needed to keep society running.
"
Pharmaceutical vandalized after coronavirus test criticism," A branch of pharmaceutical firm Roche on Transistorstraat in Almere was vandalized overnight. The phrase ""How many deaths?"" was spray painted on its wall, and a sign with the text ""Fuck Roche profit"" was left at the building, Omroep Flevoland reports. ",https://nltimes.nl/2020/03/27/pharmaceutical-vandalized-coronavirus-test-criticism,"A branch of pharmaceutical firm Roche on Transistorstraat in Almere was vandalized overnight. The phrase ""How many deaths?"" was spray painted on its wall, and a sign with the text ""Fuck Roche profit"" was left at the building, Omroep Flevoland reports.
The Swiss company was criticized during a parliamentary debate on Thursday. There were reports that Roche was refusing to share a recipe of a fluid needed for the Covid-19 test, resulting in hospitals being unable to make the material themselves. Various political parties wanted to force the company to release this recipe. 
Esther de Rooij, head of the Dutch branch of Roche, denied these accusations on television program Jinek on Thursday evening. According to her, the recipe is ""freely available"" and the company also made all the necessary information available on how to best produce it.. But making the fluid themselves will cost hospitals valuable time, test material and personnel, she said. 
Een vestiging van farmaciebedrijf Roche in Almere is beklad. 'Hoeveel doden?' is met zwarte verf op het gebouw aan de Transistorstraat gespoten https://t.co/YyRedBWEdr
— Omroep Flevoland (@OmroepFlevoland) March 27, 2020
"
Tax Authority had 'hard targets' for money recovered from 'fraudsters': report," For years the Tax Authority had hard targets for amounts that had to be recovered from paid allowances. If they did not reach these targets, they had to scrutinize more potential fraudsters to achieve the 'minimum yield', Trouw and RTL Nieuws report based on their own research. ",https://nltimes.nl/2020/03/27/tax-authority-hard-targets-money-recovered-fraudsters-report,"For years the Tax Authority had hard targets for amounts that had to be recovered from paid allowances. If they did not reach these targets, they had to scrutinize more potential fraudsters to achieve the 'minimum yield', Trouw and RTL Nieuws report based on their own research.
These hard targets partly resulted in the so-called childcare allowance scandal. Thousands of parents were unjustly labeled fraudsters and ordered to repay their childcare allowances, leaving families in impossible situations, according to the National Ombudsman. The Donner committee who investigated this affair spoke of a ""form of moral corruption"" by the Tax authority. 
The hard targets came from agreements made in 2013 to tackle fraud more harshly, according to RTL. Investments were made in extra personnel and software in the fight against fraud - the costs of which had to be covered by recovered allowances, the broadcaster wrote. 
Documents in the news agencies' possession show that in the summer of 2018, for example, the Allowances department warned that the ""minimum yield of the business case Fraud (25 million euros)"" will not be achieved. The document stated for this reason, the ""risk selection"" was being tightened and the service was going to check thousands of people with allowances very intensively, according to RTL. 
A spokesperson for State Secretary Alexandra van Huffelen, responsible for Allowances, told RTL that the Tax Authority did indeed work with targets in the hunt for fraud since 2013, but that this method was abandoned last year. ""Bringing in an amount of fraud can never be the goal,"" the spokesperson said. ""The core must be that people who are entitled to it receive allowances, that unintentional mistakes in applications are prevented, and that fraud is tackled. Without financial objective.""
The spokesperson also said that there are ""no indications"" that fraud teams or employees were evaluated on how much money they recovered. The spokesperson also said that insofar as ""we have been able to verify"" there were no bonuses or special awards for those who achieved most in the hunt for fraud.
 
"
"Covid-19 measures, stress may be leading to more domestic violence, experts warn", The sudden change to structure and stress brought on by coronavirus Covid-19 and the measures taken to curb its spread may be leading to more domestic violence in the Netherlands. Both the National Psychotrauma Center at UMC Utrecht and children's hotline Kindertelefoon noticed a sharp increase in calls.  ,https://nltimes.nl/2020/03/27/covid-19-measures-stress-may-leading-domestic-violence-experts-warn,"The sudden change to structure and stress brought on by coronavirus Covid-19 and the measures taken to curb its spread may be leading to more domestic violence in the Netherlands. Both the National Psychotrauma Center at UMC Utrecht and children's hotline Kindertelefoon noticed a sharp increase in calls. 
The Kindertelefoon is receiving around 50 percent more calls than usual since the schools closed nearly two weeks ago. Under normal circumstances, children seek contact around 1 thousand times a day. Now it's around 1,500 ties, director Roline de Wilde said to RTL Nieuws. ""We receive calls from children dealing with sexual abuse, domestic violence and arguments,"" she said. ""That huge increase in telephone calls is worrying us. It is important that we send a signal that this is happening. Especially because this may go on a while.""
De Wilde believes this is connected to families suddenly being forced into constant close contact with each other. All structure changed completely in a matter of days, she said. Tensions are rising in 'problem families', but also in 'ordinary families' who did not have problems before the coronavirus crisis, she said. ""It is a very unreal and troubled time. It all creates tension.""
Iva Bicanic, head of the National Psychotrauma Center, agrees that this crisis situation is causing increased stress and tension in families, she said to RTL Nieuws. ""Parents face stress and are suddenly worried about their job, for example. That's an impulse for child abuse,"" she said. Feeling powerless makes people irritable, she said, stressing the importance of staying alert to this. ""We must actively approach people, reach out.""
"
"Drunk driver pulled over for ""eating cherry bonbons"""," The driver of a car pulled over on suspicion of driving under the influence said he had not been drinking much, but had eaten a large quantity of chocolate-covered cherry bonbons. It happened Wednesday night on Rijksweg-West in Arnhem, when police saw the vehicle ""swerving and driving slowly.""
He was given a breathalyzer test, which measured a quantity of 275 micrograms of alcohol per liter, about 25 percent over the legal limit. ",https://nltimes.nl/2020/03/26/drunk-driver-pulled-eating-cherry-bonbons,"The driver of a car pulled over on suspicion of driving under the influence said he had not been drinking much, but had eaten a large quantity of chocolate-covered cherry bonbons. It happened Wednesday night on Rijksweg-West in Arnhem, when police saw the vehicle ""swerving and driving slowly.""
He was given a breathalyzer test, which measured a quantity of 275 micrograms of alcohol per liter, about 25 percent over the legal limit.
""The driver indicated that the cherry bonbons had been on sale the previous week, and that these were ‘very tasty!’"" police said. ""He stated that he had had more than one box of the cherry bonbons.”
“Eating chocolates is fine,” the police wrote in a comment on Facebook, “but driving under the influence of alcohol is indeed not acceptable!”
The driver was forbidden from driving for another hour, which police said would allow an adequate amount of time to process the alcohol in his system and reduce it to an allowable level. Punishment will be determined by the prosecutor in the case.
Back eight years ago, a version of the confectionary sold by Hema contained 0.6 milliliters of 192-proof alcohol. A spokesperson at the time told NRC, ""You would have to eat about 42 cherry bonbons to get the same amount as a half-liter of beer (at five percent).""



Afgelopen nacht zagen wij op de Rijksweg-West een auto rijden die ons opviel door slingerend en langzaam rijgedrag.
Bij...
Geplaatst door Politie Arnhem-Zuid op Donderdag 26 maart 2020

"
Vietnamese kids missing from Dutch shelters victims of human trafficking: Rapporteur," A massive 97 percent of Vietnamese children taken in by the protected asylum shelter in the Netherlands have disappeared, according to the National Rapporteur on Human Trafficking and Sexual Violence against Children. ""The suspicion that a large proportion of these children fall into the hands of human traffickers or people smugglers have been confirmed."" The Netherlands must do something, Rapporteur Herman Bolhaar said, NU.nl reports. ",https://nltimes.nl/2020/03/26/vietnamese-kids-missing-dutch-shelters-victims-human-trafficking-rapporteur,"A massive 97 percent of Vietnamese children taken in by the protected asylum shelter in the Netherlands have disappeared, according to the National Rapporteur on Human Trafficking and Sexual Violence against Children. ""The suspicion that a large proportion of these children fall into the hands of human traffickers or people smugglers have been confirmed."" The Netherlands must do something, Rapporteur Herman Bolhaar said, NU.nl reports.
In March last year, Argos and NRC reported that at least 60 Vietnamese children disappeared from the protected shelter between 2013 and 2017. A report recently published by the expertise center on human trafficking and people smuggling EMM and the migration chain analysis center APM concluded that at least 20 Vietnamese children disappeared in the past two year. In total, an estimated 1,750 children have disappeared, the researchers concluded.
Bolhaar calls it beyond time for new measures to protect children coming to seek safety in the Netherlands. ""I find it incomprehensible that this has not happened yet. The Dutch State is also responsible for these children,"" he said, according to the newspaper.
State Secretary Ankie Broekers-Knol of Justice and Security, who is responsible for Asylum, said in a response that this matter is on the national and international agenda.
 
"
First Dutch fined for violating ban on gatherings," The police in Westervoort and Duiven, Gelderland, have fined five people for not adhering to rules in place to curb the spread of coronavirus Covid-19. The culprits involved formed groups of three or more people and did not stay the required 1.5 meters away from each other. ",https://nltimes.nl/2020/03/25/first-dutch-fined-violating-ban-gatherings,"The police in Westervoort and Duiven, Gelderland, have fined five people for not adhering to rules in place to curb the spread of coronavirus Covid-19. The culprits involved formed groups of three or more people and did not stay the required 1.5 meters away from each other.
""Young people do not take the rules of conduct seriously. The time for warnings has passed,"" the police said on Facebook. According to Omroep Gelderland, the five culprits were fined 104 euros each. 
The Duiven police posted a photo on Facebook showing a group of young people playing football together. ""But we were in many places where people don't keep a distance from each other,"" the Duvien police said. 
The police will keep monitoring the situation and asked locals again to ""use common sense"". 
"
"Medical masks the new favorite for thefts, scams"," Medical masks seem to be a new hot commodity in the criminal world. Recently the police arrested two people in Dordrecht for trying to scam hospitals into buying non-existent masks for high amounts. And masks were stolen from a care institution in Putten.
Last week, the police received reports from multiple Dutch hospitals saying they were being offered a large batch of medical masks, for which they had to pay millions of euros. The police immediately suspected a scam and started an investigation. ",https://nltimes.nl/2020/03/25/medical-masks-new-favorite-thefts-scams,"Medical masks seem to be a new hot commodity in the criminal world. Recently the police arrested two people in Dordrecht for trying to scam hospitals into buying non-existent masks for high amounts. And masks were stolen from a care institution in Putten.
Last week, the police received reports from multiple Dutch hospitals saying they were being offered a large batch of medical masks, for which they had to pay millions of euros. The police immediately suspected a scam and started an investigation.
The investigation led them to a man and a woman from Dordrecht, both 27 years old. They were arrested and taken to a cell complex in Amsterdam for questioning. Their home in Dordrecht was searched and various data carriers were seized for further investigation. 
The police are also looking for perpetrators who stole 130 medical masks and hand sanitizer from a health center in Putten on March 19. The perpetrators left the health center with no protective equipment, the police said on Opsporing Verzocht. 
""It is terrible that this is happening in these times,"" police officer Jan Thijs van Hemmen said. ""To get to the perpetrators, we call on the help of the public. Perhaps someone saw something strange in the night of March 18 to 19 near the health center on Engweg. There may be people who have surveillance cameras in the area. Those images can help us with the investigation.""
In a letter to parliament last week, Minister Hugo de Jonge of Public Health also warned of businesses and individuals trying to exploit the coronavirus crisis for financial gain. Stocks were offered at ""extortionate prices"", and in some cases inquiry showed that ""the products were not available at all.""
"
"Two Dutch accused of stealing €220,000 in ATM bombings in Germany"," Two Dutch men are charged in Germany with blowing up two ATMs and stealing at least 220 thousand euros. They could face up to 15 years in prison, AD reports.
A 31-year-old suspect is being prosecuted for serious theft and causing a gang-related explosion. According to the German Public Prosecutor, he was a member of a gang involved in blowing up ATMs in Twist and Bad Iburg on 10 February 2016 and 11 May 2017 respectively. A total of around 220 thousand euros were stolen in these ATM bombings. ",https://nltimes.nl/2020/03/24/two-dutch-accused-stealing-eu220000-atm-bombings-germany,"Two Dutch men are charged in Germany with blowing up two ATMs and stealing at least 220 thousand euros. They could face up to 15 years in prison, AD reports.
A 31-year-old suspect is being prosecuted for serious theft and causing a gang-related explosion. According to the German Public Prosecutor, he was a member of a gang involved in blowing up ATMs in Twist and Bad Iburg on 10 February 2016 and 11 May 2017 respectively. A total of around 220 thousand euros were stolen in these ATM bombings.
The 31-year-old man was arrested in the Netherlands in mid-2019 and will be extradited to Germany for this lawsuit, according to the newspaper.
The second suspect, a 28-year-old man, is accused of complicity in the ATM bombing in Twist. He was arrested at Zaventem airport near Brussels in February and is now in Germany's custody.
The German authorities believe both suspects belonged to the so-called Audi gang - a gang of Dutch criminals who used stolen Audis to rob ATMs in Germany and then speed back across the border. Each of the crimes they are accused of carry prison sentences between one and 15 years. 
"
MH17 trial delayed until June," The next hearings in the trial against the first four suspects in the downing of flight MH17 was postponed until June, to give the lawyers of suspect Oleg Pulatov the chance to study the extensive case file, which consists of at least 36 thousand pages. When the trial resumes, the court will decide on the multiple requests the Public Prosecution Service (OM) made in this case, the Telegraaf reports. ",https://nltimes.nl/2020/03/23/mh17-trial-delayed-june,"The next hearings in the trial against the first four suspects in the downing of flight MH17 was postponed until June, to give the lawyers of suspect Oleg Pulatov the chance to study the extensive case file, which consists of at least 36 thousand pages. When the trial resumes, the court will decide on the multiple requests the Public Prosecution Service (OM) made in this case, the Telegraaf reports.
The trial will resume on June 8. Then Pulatov's lawyers can respond to the OM's requests. Among other things, the OM wants to question witnesses and experts to be able to explain better how tapped conversations and images were obtained. The OM also asked the court to inspect the wreckage of the downed aircraft. 
Pulatov is the only one of the four suspects to send lawyers to represent him. 
The decision to postpone was announced via live stream on Monday. Due to the coronavirus, no press or public were allowed at the hearing. Only the three judges, one clerk, one prosecutor, and one defense lawyer were in the courtroom, the newspaper said.
"
